lemma,pos,rank,dispersion,gloss
맡다,VV,791,0.91,to take care of
모이다,VV,792,0.90,to get together
계시다,VV,793,0.53,to exist (honorific)
어서,MAG,794,0.51,quickly|promptly
선,NNG,795,0.86,line
일부,NNG,796,0.83,some|part
든,JX,797,0.90,or
가만히,MAG,798,0.50,still|motionlessly
를,JKO,799,0.65,object marker (focus)
인물,NNG,800,0.96,person|character
참,IC,801,0.31,oh
사,NR,802,0.28,four
네,MM,803,0.71,four (adnominal)
흐르다,VV,804,0.94,to flow|run
거리,NNG,805,0.88,street
내,NNB,806,0.90,within
배,NNG,807,0.68,stomach|belly
눕다,VV,808,0.74,to lie down
동생,NNG,809,0.70,younger sibling
에다가,JX,810,0.24,onto|at
성,NNG,811,0.84,sex|gender
선거,NNG,812,0.74,election
작업,NNG,813,0.91,work|job
만,NNB,814,0.86,interval time
단계,NNG,815,0.84,step|stage
국제,NNG,816,0.75,international
곤,EC,817,0.90,used to (connective)
맞다,VV,818,0.91,to meet|greet
국내,NNG,819,0.65,domestic
걱정,NNG,820,0.75,worry
회의,NNG,821,0.83,meeting|conference
가르치다,VV,822,0.82,to teach
가능성,NNG,823,0.83,possibility
원래,MAG,824,0.66,originally
리,NNB,825,0.81,reason|logic
기관,NNG,826,0.82,organization
새끼,NNG,827,0.63,young animal|bastard
년대,NNB,828,0.84,counter (years/decade)
대신,NNG,829,0.97,instead
병원,NNG,830,0.91,hospital
관련,NNG,831,0.70,relation|relevance
현상,NNG,832,0.86,phenomenon
니까,EC,833,0.05,as|because
들어서다,VV,834,0.93,to enter
이해하다,VV,835,0.97,to understand
대화,NNG,836,0.83,conversation
성격,NNG,837,0.90,personality|character
개발,NNG,838,0.73,development
단체,NNG,839,0.82,organization
측,NNB,840,0.76,side|party
과,NNB,841,0.78,department|lesson
통일,NNG,842,0.87,unification
적다,VA,843,0.93,few
역할,NNG,844,0.89,role
사내,NNG,845,0.63,man
춤,NNG,846,0.63,dance
산업,NNG,847,0.80,industry
찍다,VV,848,0.72,to take (photo)
무섭다,VA,849,0.75,scary|frightening
그날,NNG,850,0.80,that day
잠시,MAG,851,0.84,for a minute
나쁘다,VA,852,0.81,bad
잃다,VV,853,0.97,to lose
능력,NNG,854,0.91,ability
차이,NNG,855,0.88,difference
체제,NNG,856,0.83,system
살리다,VV,857,0.74,to save|spare
학년,NNB,858,0.81,school year
직접,MAG,859,0.94,directly|in person
기능,NNG,860,0.83,function
형태,NNG,861,0.84,shape|form
장,NNB,862,0.86,counter (paper)
이용하다,VV,863,0.90,to use
매우,MAG,864,0.93,very|really
코,NNG,865,0.79,nose
제일,MAG,866,0.58,most|first
늘,MAG,867,0.88,always
짜다,VV,868,0.49,to make|set up
니,EC,869,0.72,and|or|so on
별로,MAG,870,0.76,not particularly
방향,NNG,871,0.93,direction
않다,VX,872,0.79,do not (aux)
벗다,VV,873,0.71,to take off
영향,NNG,874,0.86,influence|impact
불다,VV,875,0.70,to blow
행동,NNG,876,0.96,behavior|act
육,NR,877,0.25,six
벌다,VV,878,0.67,to make|earn
분위기,NNG,879,0.93,atmosphere
시민,NNG,880,0.87,citizen
꺼내다,VV,881,0.79,to take out
가깝다,VA,882,0.97,close
어찌,MAG,883,0.77,how|what
마리,NNB,884,0.80,counter (animal)
컴퓨터,NNG,885,0.85,computer
옮기다,VV,886,0.99,to move
칼,NNG,887,0.69,knife|sword
과학,NNG,888,0.83,science
제대로,MAG,889,0.95,properly|right
항상,MAG,890,0.81,always
도시,NNG,891,0.95,city
마찬가지,NNG,892,0.98,same
논,NNG,893,0.46,rice paddy
담다,VV,894,0.90,to contain|put in
금,NNG,895,0.72,gold
세기,NNG,896,0.82,century
국회,NNG,897,0.73,congress
경찰,NNG,898,0.89,police
질,NNG,899,0.52,quality
수준,NNG,900,0.83,level|standard
짓,NNG,901,0.74,behavior|act
편지,NNG,902,0.87,letter
잖아,EF,903,0.28,final ending (emphasis)
수,NNG,904,0.93,number
방식,NNG,905,0.86,way|method
음식,NNG,906,0.89,food
들이대다,VV,907,0.77,to spend|let in
아름답다,VA,908,0.98,beautiful
래,EF,909,0.25,final ending (quotation)
절,NNG,910,0.52,Buddhist temple
행위,NNG,911,0.89,behavior
삼십,NR,912,0.32,thirty
개인,NNG,913,0.89,individual|private
조금,NNG,914,0.95,little|some
뜨다,VV,915,0.72,to open (eyes)
네,NP,916,0.71,your (possessive)
약,NNG,917,0.70,medicine
전부,MAG,918,0.29,entirely|all
주장하다,VV,919,0.83,to argue|claim
동,NNG,920,0.77,district|town
잊다,VV,921,0.89,to forget
쉬다,VV,922,0.76,to rest|relax
구하다,VV,923,0.86,to seek|search for
대회,NNG,924,0.63,competition|rally
사랑하다,VV,925,0.95,to love
던지다,VV,926,0.92,to throw
시기,NNG,927,0.87,time|period
마치,MAG,928,0.96,like|as if
지나가다,VV,929,0.82,to pass by
자면,EC,930,0.82,connective (condition)
저,IC,931,0.19,well|um
은행,NNG,932,0.72,bank
금융,NNG,933,0.59,finance|banking
혹은,MAG,934,0.88,or
심하다,VA,935,0.93,heavy|severe
표현,NNG,936,0.86,expression
애기,NNG,937,0.24,baby
다가,JX,938,0.41,at|on
대다,VX,939,0.83,do a lot (aux)
기,NNG,940,0.71,spirit|energy
시절,NNG,941,0.97,days|years
정하다,VV,942,0.90,to decide
오래,MAG,943,0.84,long|for a long time
아야지,EF,944,0.50,final ending (should)
싸다,VV,945,0.51,to wrap
아저씨,NNG,946,0.70,middle-aged man|uncle
최고,NNG,947,0.81,best|top
일으키다,VV,948,1.00,to raise|trigger
자유,NNG,949,0.93,freedom
자연,NNG,950,0.88,nature
얘,NP,951,0.24,this kid
늦다,VA,952,0.83,late
상,NNG,953,0.80,award|prize
만약,NNG,954,0.79,if|in case
알려지다,VV,955,0.79,to be known
칠,NR,956,0.32,seven
일하다,VV,957,0.93,to work
내려가다,VV,958,0.77,to go down
때리다,VV,959,0.58,to hit|smack
시험,NNG,960,0.77,exam|test
조직,NNG,961,0.92,organization
가치,NNG,962,0.88,value
값,NNG,963,0.89,price
오후,NNG,964,0.77,afternoon
방송,NNG,965,0.83,broadcasting
키,NNG,966,0.76,height
변하다,VV,967,0.96,to change
결혼,NNG,968,0.91,marriage
맛,NNG,969,0.87,taste
설명하다,VV,970,0.95,to explain
차다,VV,971,0.86,to be full
장사,NNG,972,0.51,business
기회,NNG,973,0.96,opportunity
모두,NNG,974,0.99,all|everyone
할아버지,NNG,975,0.77,grandfather
배,NNB,976,0.87,double|counter (times)
듯이,NNB,977,0.81,like|as
팀,NNG,978,0.60,team
동시,NNG,979,0.96,same time
물건,NNG,980,0.89,thing|item
분야,NNG,981,0.82,field|area
개념,NNG,982,0.79,concept
차례,NNG,983,0.94,turn|order
비하다,VV,984,0.92,to compare
어찌하다,VV,985,0.67,to do how
ㄴ데요,EF,986,0.40,final ending (polite)
개,NNG,987,0.69,dog
구체적,NNG,988,0.89,concrete|specific
이날,NNG,989,0.40,this day|today
집단,NNG,990,0.87,group
떨다,VV,991,0.78,to shake|tremble
언제,MAG,992,0.72,when
지니다,VV,993,0.88,to have|possess
비다,VV,994,0.84,empty|vacant
고기,NNG,995,0.67,meat
회,NNB,996,0.76,counter (times)
책임,NNG,997,0.93,responsibility
고향,NNG,998,0.96,hometown
가정,NNG,999,0.92,family|home
피하다,VV,1000,0.96,to avoid
고자,EC,1001,0.89,connective|purpose
비슷하다,VA,1002,0.90,similar to
이때,NNG,1003,0.86,that time|just now
고맙다,VA,1004,0.70,be thankful|be grateful
외국,NNG,1005,0.86,foreign country
효과,NNG,1006,0.86,effect|effectiveness
주,NNB,1007,0.74,counter (stock)
외,NNB,1008,0.93,outside|besides
작가,NNG,1009,0.90,writer
넘어가다,VV,1010,0.65,cross|pass
안다,VV,1011,0.85,hug|embrace
약,MM,1012,0.90,about|approximately
상당히,MAG,1013,0.59,considerably|fairly|quite
여기다,VV,1014,0.99,consider
움직이다,VV,1015,0.97,move
장군,NNG,1016,0.68,general
환자,NNG,1017,0.94,patient
하고,JK,1018,0.19,with|comitative
한참,NNG,1019,0.73,good while|for a long time
위원회,NNG,1020,0.78,committee
보통,NNG,1021,0.81,usual|average|ordinary
벌이다,VV,1022,0.83,start|set up|arrange
새,NNG,1023,0.74,bird
태도,NNG,1024,0.99,attitude
드리다,VV,1025,0.57,give|offer
리라,EF,1026,0.92,final|promise
추다,VV,1027,0.52,dance
죽음,NNG,1028,0.97,death
짐,NNG,1029,0.63,baggage|burden
투자,NNG,1030,0.64,investment
기간,NNG,1031,0.84,period
점,NNB,1032,0.79,point|fact
아이구,IC,1033,0.22,oh|my goodness|gosh
지다,VV,1034,0.56,become|get
아무,NP,1035,0.83,anyone|no one
형제,NNG,1036,0.67,brother|sibling
아파트,NNG,1037,0.89,apartment
주로,MAG,1038,0.88,mainly
영어,NNG,1039,0.83,English (language)
전,MM,1040,0.67,former|ex-
목적,NNG,1041,0.91,purpose
아빠,NNG,1042,0.73,dad
노력,NNG,1043,0.91,efforts
의견,NNG,1044,0.91,opinion
이리,MAG,1045,0.39,in this way|like this
생명,NNG,1046,0.95,life
ㅂ시오,EF,1047,0.79,final|command
빠르다,VA,1048,0.95,fast
말씀하다,VV,1049,0.53,speak (honorific)
그놈,NP,1050,0.38,that fellow
검찰,NNG,1051,0.55,prosecution
스스로,MAG,1052,0.99,for oneself|by oneself
며칠,NNG,1053,0.83,a few days|how many days
지르다,VV,1054,0.77,yell|shout
쳐다보다,VV,1055,0.73,stare at|look at
내놓다,VV,1056,0.86,put out|bring out|present
기억,NNG,1057,0.90,memory
완전히,MAG,1058,0.91,completely|totally
예술,NNG,1059,0.86,art
묵다,VV,1060,0.37,stay
형사,NNG,1061,0.80,police officer|detective
조차,JX,1062,0.99,even
몰다,VV,1063,0.71,drive|steer|navigate
라,JK,1064,0.78,that|complementizer
으,IC,1065,0.14,oh|ah
호랑이,NNG,1066,0.50,tiger
도움,NNG,1067,0.92,help
사라지다,VV,1068,0.98,disappear
달다,VV,1069,0.73,hang|put up
이전,NNG,1070,0.86,before|previous
훨씬,MAG,1071,0.97,much
차리다,VV,1072,0.78,set|prepare
의사,NNG,1073,0.95,doctor
재산,NNG,1074,0.87,asset|wealth
주장,NNG,1075,0.89,argument|claim
고치다,VV,1076,0.80,fix|repair|mend
뽑다,VV,1077,0.82,pull out|pick|select
우,EF,1078,0.43,final|question
그리고,MAJ,1079,0.10,and
밭,NNG,1080,0.64,field|farm
사상,NNG,1081,0.82,ideology
약간,MAG,1082,0.73,little|somewhat
과연,MAG,1083,0.90,indeed|sure enough
짝,NNG,1084,0.61,partner|pair
뛰다,VV,1085,0.74,run
조건,NNG,1086,0.92,condition|terms|qualification
요,MM,1087,0.28,this
스님,NNG,1088,0.97,Buddhist monk
굿,NNG,1089,0.45,gut
가리키다,VV,1090,0.78,point
감정,NNG,1091,0.97,emotion|feeling
골,NNG,1092,0.70,goal (in sports)
팔,NR,1093,0.25,eight
인생,NNG,1094,0.94,life
준비,NNG,1095,0.92,preparation
존재,NNG,1096,0.89,existence
올해,NNG,1097,0.63,this year
마련하다,VV,1098,0.90,prepare for
달러,NNB,1099,0.58,dollar
바뀌다,VV,1100,0.93,change|turn into
마당,NNG,1101,0.77,yard
싸우다,VV,1102,0.86,fight
자금,NNG,1103,0.67,fund
초,NNB,1104,0.84,beginning (of)
다만,MAG,1105,0.99,only|just|simply
회담,NNG,1106,0.61,talk|meeting|conference
지난해,NNG,1107,0.34,last year
남,NNG,1108,0.37,male
일반,NNG,1109,0.86,general
뭐,NP,1110,0.21,what
옳다,VA,1111,0.85,right|proper
관리,NNG,1112,0.79,management
공장,NNG,1113,0.96,factory
지원,NNG,1114,0.75,support
질문,NNG,1115,0.92,question
이론,NNG,1116,0.78,theory
줄,NNG,1117,0.80,string|rope|line
개월,NNB,1118,0.84,counter (month)
신경,NNG,1119,0.94,nerve|thought|mind
너희,NP,1120,0.78,you
보다,MAG,1121,0.93,more|than|to
처녀,NNG,1122,0.65,single woman|virgin
인하다,VV,1123,0.93,be caused by|arise
려면,EC,1124,0.97,connective|in order to
교회,NNG,1125,0.85,church
요새,NNG,1126,0.34,recently|lately
숨,NNG,1127,0.88,breath|respiration
대,NNB,1128,0.86,counter (car, computer)
핵,NNG,1129,0.66,nuclear|nucleus
늙다,VV,1130,0.73,get old|age
층,NNB,1131,0.97,counter (floor)
든가,EC,1132,0.59,either...or...
강조하다,VV,1133,0.86,emphasize|highlight
기준,NNG,1134,0.81,standard|criterion
시작되다,VV,1135,0.98,start|begin
ㄹ수록,EC,1136,1.00,connective|the more/less
다양하다,VA,1137,0.83,diverse
일곱,NR,1138,0.51,seven
경험,NNG,1139,0.94,experience
교사,NNG,1140,0.89,teacher|instructor
언론,NNG,1141,0.82,press|media
사회적,NNG,1142,0.81,social|societal
봄,NNG,1143,0.91,spring
나타내다,VV,1144,0.85,appear|show
주변,NNG,1145,0.95,surroundings|periphery
셈,NNB,1146,0.99,calculation|sum|same
낮다,VA,1147,0.97,low
만큼,JX,1148,0.91,as much as|like
정치적,NNG,1149,0.86,political
원하다,VV,1150,0.95,desire|wish
참다,VV,1151,0.86,suppress|retain (oneself)
이해,NNG,1152,0.87,understanding
부리다,VV,1153,0.77,show|make
주제,NNG,1154,0.88,topic|thesis|theme
강하다,VA,1155,0.96,strong|firm
진짜,MAG,1156,0.07,really|genuinely
여인,NNG,1157,0.92,woman
돕다,VV,1158,0.90,help
아이고,IC,1159,0.27,oh my goodness|gosh
요구하다,VV,1160,0.89,require|request
대답,NNG,1161,0.85,answer|reply
아기,NNG,1162,0.92,baby
자는,EC,1163,0.97,relative|propose
세력,NNG,1164,0.89,power|strength
빠지다,VV,1165,0.84,fall out|deflate|drain
감독,NNG,1166,0.68,director
오십,NR,1167,0.30,fifty
올라오다,VV,1168,0.69,come up
이곳,NP,1169,0.99,this place|here
청년,NNG,1170,0.93,young man|young people
러시아,NNG,1171,0.79,Russia
프로그램,NNG,1172,0.83,program
박사,NNG,1173,0.93,PhD|expert
대문,NNG,1174,0.60,gate
주,NNG,1175,0.62,state|province
남기다,VV,1176,1.00,leave|save|set aside
평가,NNG,1177,0.78,evaluation
업체,NNG,1178,0.44,business|company
열심히,MAG,1179,0.82,hard|diligently
후보,NNG,1180,0.50,candidate
섬,NNG,1181,0.87,island
여름,NNG,1182,0.94,summer
뜨다,VV,1183,0.70,float
생산,NNG,1184,0.79,production
구,NR,1185,0.21,nine
공부하다,VV,1186,0.73,study
설명,NNG,1187,0.89,explanation
반드시,MAG,1188,0.95,surely|certainly
전국,NNG,1189,0.73,whole country
어린이,NNG,1190,0.75,children
차원,NNG,1191,0.86,level|dimension
공동,NNG,1192,0.78,joint|communal
받아들이다,VV,1193,0.98,take|accept|receive
찾아가다,VV,1194,0.89,visit|go
노동,NNG,1195,0.87,labor
사고,NNG,1196,0.88,accident
끊다,VV,1197,0.76,disconnect|hang up
부자,NNG,1198,0.53,rich
공간,NNG,1199,0.93,space
편,NNB,1200,0.92,side
빛,NNG,1201,0.97,light
터지다,VV,1202,0.90,explode
떼다,VV,1203,0.86,detach
아이,IC,1204,0.17,oh|ah|oh my
자동차,NNG,1205,0.91,car|automobile
냥,NNB,1206,0.25,counter (money in old times)
확인하다,VV,1207,0.98,confirm
키우다,VV,1208,0.84,raise|bring up|grow
드러나다,VV,1209,0.97,reveal|appear
분명하다,VA,1210,1.00,clear|obvious
반대,NNG,1211,0.93,opposition
자주,MAG,1212,0.96,frequently|often
현재,NNG,1213,0.89,current time|present|now
벽,NNG,1214,0.94,wall|barrier
라고,EF,1215,0.43,final|command
뭣,NP,1216,0.43,what
태어나다,VV,1217,0.98,be born
벗어나다,VV,1218,0.99,get out of|deviate
종,NNG,1219,0.91,species|kind
매,NNG,1220,0.53,rod|lash
밝다,VA,1221,0.91,bright|light|dawn
겪다,VV,1222,0.96,experience
이기다,VV,1223,0.91,win
새로,MAG,1224,0.90,newly
거치다,VV,1225,0.93,go through|pass
한편,MAG,1226,0.78,meanwhile
잠깐,MAG,1227,0.63,for a moment|briefly
장,NNB,1228,0.83,chapter|counter (chapter)
위원,NNG,1229,0.76,member (of a committee)
갖추다,VV,1230,0.93,have|be equipped with
틀리다,VV,1231,0.64,be wrong|incorrect
넓다,VA,1232,0.94,broad|spacious
서,JK,1233,0.67,subject marker
녀석,NNB,1234,0.77,guy|fellow
계속하다,VV,1235,0.93,continue|keep (on)
쥐다,VV,1236,0.79,hold|clench|grasp
주민,NNG,1237,0.86,resident
겨울,NNG,1238,0.97,winter
딴,MM,1239,0.45,another|irrelevant
여섯,NR,1240,0.60,six
언제,NP,1241,0.85,when
펴다,VV,1242,0.94,unfold|straighten|press out
쌓다,VV,1243,0.81,pile up|stack up|build
영국,NNG,1244,0.87,Britain
독일,NNG,1245,0.83,Germany
달리다,VV,1246,0.93,run|race
양,NNG,1247,0.88,quantity|amount|volume
알리다,VV,1248,0.98,inform|notify|report
수업,NNG,1249,0.68,class|lesson
자고,EC,1250,0.83,connective
사태,NNG,1251,0.85,situation|state of affairs
석,MM,1252,0.46,three
흔들다,VV,1253,0.81,shake
마치다,VV,1254,0.94,finish
대답하다,VV,1255,0.89,answer
냄새,NNG,1256,0.89,smell
둘째,NR,1257,0.88,second
원인,NNG,1258,0.92,reason
걸치다,VV,1259,0.99,wear|put on|cover
광고,NNG,1260,0.87,advertisement
자라다,VV,1261,0.93,grow (up)|be raised
거,NP,1262,0.18,thing
오늘날,NNG,1263,0.82,today|present
든지,EC,1264,0.58,whether ... or ...
인사,NNG,1265,0.82,greeting|salutation
어깨,NNG,1266,0.85,shoulder
형님,NNG,1267,0.62,elder brother
정권,NNG,1268,0.87,regime|administration
사정,NNG,1269,0.97,circumstances|reason
낮,NNG,1270,0.74,day|daytime
찾아오다,VV,1271,0.92,visit|drop by
저거,NP,1272,0.09,that|that thing
중간,NNG,1273,0.79,middle|center
프랑스,NNG,1274,0.82,France
여전히,MAG,1275,0.98,still
다루다,VV,1276,0.93,deal with|handle|treat
분명히,MAG,1277,0.89,clearly|distinctly
법,NNB,1278,0.93,way|law
달리,MAG,1279,0.98,in any other way|differently
별,MM,1280,0.76,different|unusual
수사,NNG,1281,0.71,investigation
실제로,MAG,1282,0.91,really|actually
아다가,EC,1283,0.43,connective
위,NNB,1284,0.72,ranking
놓이다,VV,1285,0.95,be placed at|relaxed
한번,NNG,1286,0.68,once|one time
가격,NNG,1287,0.72,price
새벽,NNG,1288,0.92,dawn|daybreak
피다,VV,1289,0.76,bloom|blossom
결정,NNG,1290,0.89,decision
현,MM,1291,0.87,present|current
매다,VV,1292,0.54,tie|tighten
낫다,VA,1293,0.76,better|superior to
부산,NNG,1294,0.82,Busan
그동안,NNG,1295,0.86,meanwhile|in the meantime
백만,NR,1296,0.77,million
허리,NNG,1297,0.82,waist
흔히,MAG,1298,0.84,commonly|frequently
집다,VV,1299,0.59,pick up
쓰이다,VV,1300,0.86,be used|serve as
끼다,VV,1301,0.71,insert (in/between)|wear
유럽,NNG,1302,0.82,Europe
당장,NNG,1303,0.89,right now|right away
선수,NNG,1304,0.74,player|athlete
여,NNG,1305,0.46,female|womankind
건물,NNG,1306,0.99,building
짧다,VA,1307,0.94,short
살,NNG,1308,0.66,flesh|skin
증인,NNG,1309,0.34,witness
마누라,NNG,1310,0.44,wife
점점,MAG,1311,0.89,gradually|by degree
잘못,MAG,1312,0.72,wrong|mistakenly
중앙,NNG,1313,0.88,center|middle
바쁘다,VA,1314,0.85,busy
똑같다,VA,1315,0.73,same|identical
전통,NNG,1316,0.85,tradition
화,NNG,1317,0.84,anger
경기,NNG,1318,0.62,game|match|event
미리,MAG,1319,0.90,in advance
건설,NNG,1320,0.76,construction
규모,NNG,1321,0.75,size
냐면,EC,1322,0.08,connective
위기,NNG,1323,0.81,crisis
발표하다,VV,1324,0.77,announce|present
그룹,NNG,1325,0.78,group
인식,NNG,1326,0.87,awareness|realization
알아보다,VV,1327,0.95,investigate|search|recognize
시설,NNG,1328,0.76,facility
차지하다,VV,1329,0.91,occupy|take possession|win
얼른,MAG,1330,0.66,quickly
소식,NNG,1331,0.96,news
덕,NNG,1332,0.70,virtue
각각,MAG,1333,0.84,each
지식,NNG,1334,0.86,knowledge
혹시,MAG,1335,0.73,by any chance
재미있다,VA,1336,0.79,amusing|interesting
남북,NNG,1337,0.75,south and north
혁명,NNG,1338,0.87,revolution
앞서다,VV,1339,0.93,get ahead|outpace
고만,MAG,1340,0.15,that much|to that extent
상대,NNG,1341,0.96,facing|opponent|company
글쎄,IC,1342,0.54,well
형식,NNG,1343,0.90,form|formality|convention
대책,NNG,1344,0.73,measure|countermeasure
결코,MAG,1345,0.98,never
미치다,VV,1346,0.72,go crazy|out of one's mind
권,NNB,1347,0.93,counter (book)
현장,NNG,1348,0.93,site|scene|actual place
언제나,MAG,1349,0.96,always
누르다,VV,1350,0.85,press|push
아부지,NNG,1351,0.26,father (colloquial)
조,NR,1352,0.79,trillion
목표,NNG,1353,0.89,goal
흘리다,VV,1354,0.93,spill|shed
맨,MM,1355,0.66,top|very
출신,NNG,1356,0.86,of ...|coming from ...
떠오르다,VV,1357,0.93,occur|think of
위원장,NNG,1358,0.69,chairperson
종이,NNG,1359,0.82,paper
며느리,NNG,1360,0.58,daughter-in-law
멈추다,VV,1361,0.86,stop|cease
귀신,NNG,1362,0.58,ghost
멀리,MAG,1363,0.90,far (away)
단,MM,1364,0.94,only
꼴,NNG,1365,0.83,look|appearance|sight
불구하고,VV,1366,0.96,disregard|be not deterred
버스,NNG,1367,0.95,bus
권력,NNG,1368,0.89,power|authority
나머지,NNG,1369,0.95,rest|remainder
에이,IC,1370,0.22,eh|what
자세,NNG,1371,0.98,posture|attitude
심다,VV,1372,0.82,plant
도로,NNG,1373,0.88,road
희다,VA,1374,0.88,white|fair
다고,EF,1375,0.43,emphasis
이어지다,VV,1376,0.96,be connected|continue
살펴보다,VV,1377,0.93,examine|look into
노동자,NNG,1378,0.94,worker|laborer
주위,NNG,1379,0.96,surrounding
방안,NNG,1380,0.73,way|measure|plan
부부,NNG,1381,0.95,couple|husband and wife
일어서다,VV,1382,0.75,stand up
해,NNB,1383,0.84,counter (year)
피우다,VV,1384,0.89,bloom|burn|smoke
말,NNB,1385,0.80,end (of)
미안하다,VA,1386,0.72,sorry
북,NNG,1387,0.75,north
신랑,NNG,1388,0.50,bridegroom
분석,NNG,1389,0.83,analysis
넘기다,VV,1390,0.93,pass over|flip
알,NNG,1391,0.70,egg|spawn
쏘다,VV,1392,0.73,shoot|fire
바위,NNG,1393,0.78,rock
기록,NNG,1394,0.89,record
쫓다,VV,1395,0.56,chase|run after
가져오다,VV,1396,0.92,bring
그곳,NP,1397,0.91,there|that place
눈치,NNG,1398,0.85,sense|notice
실제,NNG,1399,0.89,truth|practical
닦다,VV,1400,0.86,clean|wash|wipe
미치다,VV,1401,0.96,reach
하나님,NNG,1402,0.72,God
작년,NNG,1403,0.75,last year
그릇,NNG,1404,0.75,dish|bowl|container
치료,NNG,1405,0.86,treatment|remedy
기사,NNG,1406,0.97,article|news report
세월,NNG,1407,0.88,time
자손,NNG,1408,0.35,descendant|offspring
취하다,VV,1409,0.98,select|take
따로,MAG,1410,0.87,separately
식구,NNG,1411,0.79,family member
싣다,VV,1412,0.85,load|take
기르다,VV,1413,0.88,raise|cultivate|breed
준비하다,VV,1414,0.90,prepare|be ready
시선,NNG,1415,0.89,eyes|gaze
따지다,VV,1416,0.96,argue|discuss|calculate
비롯하다,VV,1417,0.88,originate|including ...
협상,NNG,1418,0.66,negotiation
던지다,EC,1419,0.52,connective
살피다,VV,1420,0.94,check|examine
행사,NNG,1421,0.79,event
꺼,NNB,1422,0.22,thing
제품,NNG,1423,0.72,product|goods
시인,NNG,1424,0.93,poet
무대,NNG,1425,0.89,stage
아홉,NR,1426,0.50,nine
행정,NNG,1427,0.82,administration
물다,VV,1428,0.76,bite|nip
잡히다,VV,1429,0.92,be caught|be grabbed
지만은,EC,1430,0.28,but|however
경영,NNG,1431,0.76,management
셋,NR,1432,0.60,three
씻다,VV,1433,0.82,wash|cleanse
오,IC,1434,0.42,oh|wow
지구,NNG,1435,0.92,earth
저것,NP,1436,0.46,that|that thing
맞다,VV,1437,0.77,be hit|be struck
인정하다,VV,1438,0.95,admit|acknowledge
상품,NNG,1439,0.81,product|merchandise
발견하다,VV,1440,0.99,discover|find|detect
달다,VV,1441,0.46,give
측면,NNG,1442,0.84,side|aspect
댁,NNG,1443,0.61,residence|house
평,NNB,1444,0.83,counter (size of land)
다니,EF,1445,0.83,exclamation
약속,NNG,1446,0.94,promise
띠다,VV,1447,0.88,be charged with
통신,NNG,1448,0.64,communication
예전,NNG,1449,0.66,before
나름,NNB,1450,0.87,one's own|depending on
백성,NNG,1451,0.89,subjects|people
해방,NNG,1452,0.93,liberation|emancipation
인터넷,NNG,1453,0.60,Internet
직원,NNG,1454,0.87,employee|staff
마디,NNG,1455,0.78,joint|knuckle|counter (word)
어둡다,VA,1456,0.91,dark
맺다,VV,1457,0.94,bear|form
선배,NNG,1458,0.74,senior
전문,NNG,1459,0.79,specialty
편하다,VA,1460,0.74,comfortable|easy
갚다,VV,1461,0.61,pay back|repay
노릇,NNG,1462,0.84,part|role|situation
반응,NNG,1463,0.95,reaction
이야기하다,VV,1464,0.92,speak|talk
고통,NNG,1465,1.00,pain
저렇다,VA,1466,0.55,be like that
기본,NNG,1467,0.86,basics|fundamentals
예정,NNG,1468,0.57,schedule|plan
달라지다,VV,1469,0.95,change|alter
소문,NNG,1470,0.90,rumor
읍,NNG,1471,0.52,town
어떠하다,VA,1472,0.89,be how
농사,NNG,1473,0.72,farming
싸움,NNG,1474,0.97,fight|quarrel
즐기다,VV,1475,0.98,enjoy
단어,NNG,1476,0.73,vocabulary|word
군대,NNG,1477,0.85,military
밀다,VV,1478,0.82,push|shove
현대,NNG,1479,0.85,modern
계시다,VV,1480,0.66,exist|be (honorific)
첫째,NR,1481,0.89,first
맘,NNG,1482,0.50,mind|heart
엄청나다,VA,1483,0.95,enormous|massive|great
중,NNG,1484,0.82,middle|medium
조정,NNG,1485,0.77,adjustment|rearrangement
존재하다,VV,1486,0.85,exist
일반적,NNG,1487,0.81,general
너무나,MAG,1488,0.96,so|too many|too much
결혼하다,VV,1489,0.81,marry
고등학교,NNG,1490,0.74,high school
똥,NNG,1491,0.42,poo|excrement
늘다,VV,1492,0.85,increase|grow|extended
사십,NR,1493,0.32,forty
경제적,NNG,1494,0.85,economic
헌,MM,1495,0.38,old|shabby|used
숨다,VV,1496,0.88,hide
발생하다,VV,1497,0.85,occur|happen
따위,NNB,1498,0.94,et cetera|and so forth
그렇지만,MAJ,1499,0.86,however|but
마저,JX,1500,0.98,even
다가오다,VV,1501,0.92,come|approach
이끌다,VV,1502,0.95,lead|guide
오전,NNG,1503,0.68,morning|a.m.
바닥,NNG,1504,0.91,bottom|floor
목사,NNG,1505,0.78,pastor|minister
도대체,MAG,1506,0.87,how|what|why|on earth
다하다,VV,1507,0.95,run out|be exhausted|do one's best
설화,NNG,1508,0.45,story|tale|fable
뉴스,NNG,1509,0.69,news
거짓말,NNG,1510,0.74,lie
모,MM,1511,0.55,certain|so and so|such and such
제시하다,VV,1512,0.86,suggest|propose
걸음,NNG,1513,0.82,step|walk
각종,NNG,1514,0.78,various (kinds of)
제사,NNG,1515,0.65,ancestral rites|memorial service
평화,NNG,1516,0.86,peace
문장,NNG,1517,0.77,sentence
편,NNB,1518,0.92,COUNTER (book|film|etc.)
종교,NNG,1519,0.88,religion
경쟁,NNG,1520,0.80,competition
마르다,VV,1521,0.82,dry (up)|get dry
해외,NNG,1522,0.75,foreign country|abroad
결정하다,VV,1523,0.91,decide|determine
